Interval;Transfer;Bandwidth;Retr;Cwnd
115.00-116.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
116.00-117.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
117.00-118.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
118.00-119.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
119.00-120.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
120.00-121.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
121.00-122.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
122.00-123.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
123.00-124.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
124.00-125.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
125.00-126.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
126.00-127.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
127.00-128.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
128.00-129.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
129.00-130.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
130.00-131.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
131.00-132.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
132.00-133.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
133.00-134.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
134.00-135.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
135.00-136.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
136.00-137.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
137.00-138.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
138.00-139.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
139.00-140.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
140.00-141.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
141.00-142.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
142.00-143.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
143.00-144.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
144.00-145.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
145.00-146.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
146.00-147.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
147.00-148.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
148.00-149.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
149.00-150.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
150.00-151.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
151.00-152.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
152.00-153.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
153.00-154.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
154.00-155.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
155.00-156.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
156.00-157.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
157.00-158.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
158.00-159.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
